FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
1,7819,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,4233.046875,256.730008207, ,PARK_Maintenance_Region 4,7819,256.730008214,1,7819,0,2179,1970,4233,15,1985,51.4764942121,46.5390975667,46.8934561777,0.354358610914,1,7819,4233,2179,1970,0,0,0,69,15,4149,84,51.4764942121,46.5390975667,0,0,0,1.63004961021,0.354358610914,98.0155917789,1.98440822112,4233.04711914063,256.730008212132
2,7820,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field, ,0,0,276419.033203,2104.70261134, ,INFO_Reallocation From Dept,7820,2104.70261134,2,7820,0,17915,31527,276421,213579,245106,6.48105607027,11.4054286758,88.6712659313,77.2658372555,2,7820,276421,17915,31527,0,0,13400,0,213579,49442,226979,6.48105607027,11.4054286758,0,0,4.84767799842,0,77.2658372555,17.8864847461,82.1135152539,276419.032470703,2104.70261133262
3,7821,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,43737.3503418,852.844111747,156,PARK_Maintenance_Region 4,7821,852.844111726,3,7821,1,25781,9621,43732,8206,17827,58.9522546419,21.9999085338,40.7642001281,18.7642915943,3,7821,43732,25781,9621,0,0,87,37,8206,35402,8330,58.9522546419,21.9999085338,0,0,0.198938992042,0.0846062379951,18.7642915943,80.9521631757,19.0478368243,43737.3505859375,852.84411172942
4,7822,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,654457.503418,3624.89362066,284,PARK_Maintenance_Region 4,7822,3624.89362061,4,7822,2,42095,448946,654462,156718,605664,6.43200063564,68.5977184313,92.5437993344,23.9460809031,4,7822,654462,42095,448946,72345,0,0,6703,84373,563386,91076,6.43200063564,68.5977184313,11.0541177333,0,0,1.02420002995,12.8919631697,86.0838368003,13.9161631997,654457.504150391,3624.89362059253
5,7823,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,0,0,1938.69506836,207.320531186,115,PARK_Maintenance_Region 4,7823,207.320531181,5,7823,0,1857,0,1938,81,81,95.8204334365,0,4.17956656347,4.17956656347,5,7823,1938,1857,0,0,0,0,0,81,1857,81,95.8204334365,0,0,0,0,0,4.17956656347,95.8204334365,4.17956656347,1938.69458007813,207.32053116233
6,7824,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,447031.286865,3765.82954556,259,PARK_Maintenance_Region 4,7824,3765.82954557,6,7824,0,290415,112530,447031,44042,156572,64.9652932347,25.172750883,35.0248640475,9.85211316441,6,7824,447031,290415,112530,5077,0,0,44,38965,408022,39009,64.9652932347,25.172750883,1.13571542018,0,0,0.00984271784283,8.71639774423,91.2737595379,8.72624046207,447031.287109375,3765.82954555486
7,7825,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,96292.9716797,1270.34974931, ,INFO_Reallocation From Dept,7825,1270.34974931,7,7825,0,77756,2642,96308,12751,15393,80.7368027578,2.74328197035,15.9830959007,13.2398139303,7,7825,96308,77756,2642,0,0,3159,0,12751,80398,15910,80.7368027578,2.74328197035,0,0,3.28010134153,0,13.2398139303,83.4800847282,16.5199152718,96292.9709472656,1270.34974931832
8,7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.134277,2170.12626815,193,PARK_Maintenance_Region 4,7826,2170.12626807,8,7826,0,72270,138865,256635,45442,184307,28.160617219,54.1099226528,71.8167825901,17.7068599373,8,7826,256635,72270,138865,21957,0,0,58,23485,233092,23543,28.160617219,54.1099226528,8.55573090186,0,0,0.0226001909326,9.1511290354,90.8262707737,9.17372922633,256633.133300781,2170.12626806955
9,7827,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,35233.9975586,797.596802175,154,PARK_Maintenance_Region 4,7827,797.596802186,9,7827,0,11252,13244,35237,10414,23658,31.9323438431,37.5854925221,67.1396543406,29.5541618185,9,7827,35237,11252,13244,0,0,76,251,10414,24496,10741,31.9323438431,37.5854925221,0,0,0.215682379317,0.712319436955,29.5541618185,69.5178363652,30.4821636348,35233.9973144531,797.59680218449
10,7828,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,17221.6560059,536.818225023,188,PARK_Cemetery Maintenance Request,7828,536.818225055,10,7828,0,8290,7974,17223,790,8764,48.1333101086,46.2985542588,50.8854438832,4.58688962434,10,7828,17223,8290,7974,0,0,0,169,790,16264,959,48.1333101086,46.2985542588,0,0,0,0.981246008245,4.58688962434,94.4318643674,5.56813563258,17221.65625,536.818225034067
11,7829,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12031326,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,0,0,5240.93896484,277.790321571,162,PARK_Maintenance_Region 4,7829,277.790321556,11,7829,0,552,4345,5246,349,4694,10.5223027068,82.8250095311,89.4776972932,6.6526877621,11,7829,5246,552,4345,0,0,0,0,349,4897,349,10.5223027068,82.8250095311,0,0,0,0,6.6526877621,93.3473122379,6.6526877621,5240.93920898438,277.790321545884
12,7830,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,303485.87207,2550.50594927, ,INFO_Reallocation From Dept,7830,2550.50594928,12,7830,1,216523,27662,303497,23975,51637,71.3427150845,9.11442287733,17.0140067282,7.89958385091,12,7830,303497,216523,27662,114,0,34243,1094,23861,244299,59198,71.3427150845,9.11442287733,0.037562150532,0,11.2828133392,0.360464848087,7.86202170038,80.4947001124,19.5052998876,303485.871337891,2550.50594926582
13,7831,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48179081, ,Institutional District,"Malls, Squares & Plazas",DCR, ,X,X, , ,0,0,20987.1813965,608.710018198, ,INFO_Reallocation From Dept,7831,608.710018141,13,7831,629,5163,7263,20355,7245,14508,25.3647752395,35.6816507001,71.2748710391,35.593220339,13,7831,20355,5163,7263,0,0,0,684,7245,12426,7929,25.3647752395,35.6816507001,0,0,0,3.36035372144,35.593220339,61.0464259396,38.9535740604,20987.1811523438,608.710018154829
14,7832,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77215033,2060 Commonwealth Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,904850.955322,4005.02324137,110,PARK_Cemetery Maintenance Request,7832,4005.02324136,14,7832,2,394327,414523,904846,92812,507335,43.5794599302,45.811441947,56.0686569869,10.2572150399,14,7832,904846,394327,414523,10421,0,3100,84,82391,819271,85575,43.5794599302,45.811441947,1.1516876905,0,0.342599735204,0.00928334766358,9.10552734941,90.5425895677,9.45741043227,904850.955810547,4005.02324137282
15,7833,Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47302947,Adair Road/Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,64166.3051758,1064.40425972,143,PARK_Maintenance_Region 4,7833,1064.40425974,15,7833,0,24201,27438,64164,12465,39903,37.7174116327,42.7622966149,62.1890779877,19.4267813727,15,7833,64164,24201,27438,4801,0,60,0,7664,56440,7724,37.7174116327,42.7622966149,7.4823888785,0,0.0935103796521,0,11.9443924942,87.9620971261,12.0379028739,64166.3046875,1064.40425974098
16,7834,St John's Seminary,Private, ,6,Allston-Brighton,59.97256943, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,2612451.57007,7708.71505086, ,INFO_Reallocation From Dept,7834,7708.71505088,16,7834,7,911491,973412,2612444,463077,1436489,34.8903555445,37.2605881695,54.9864035363,17.7258153668,16,7834,2612444,911491,973412,0,0,208180,56284,463077,1884903,727541,34.8903555445,37.2605881695,0,0,7.9687832543,2.15445766493,17.7258153668,72.150943714,27.849056286,2612451.57104492,7708.71505088442
17,7835,The Cenacles,Private,A97/CR,6,Allston-Brighton,15.33969764, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private,X,X, , ,0,0,668209.108643,4949.19663122, ,INFO_Reallocation From Dept,7835,4949.19663126,17,7835,2,492660,157100,668208,17248,174348,73.7285396164,23.5106433925,26.0918755837,2.58123219117,17,7835,668208,492660,157100,0,0,907,293,17248,649760,18448,73.7285396164,23.5106433925,0,0,0.135736177957,0.043848621986,2.58123219117,97.2391830089,2.76081699112,668209.107910156,4949.1966312242
18,7836,Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17116962,Adjacent to 91 Foster St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Galvin Park, ,0,0,355942.476074,2579.29301487,267,PARK_Maintenance_Region 4,7836,2579.29301493,18,7836,0,99926,202160,355933,53227,255387,28.0743847859,56.7972062158,71.7514251278,14.954218912,18,7836,355933,99926,202160,21704,0,0,620,31523,323790,32143,28.0743847859,56.7972062158,6.09777682879,0,0,0.174190086336,8.8564420832,90.9693678305,9.03063216954,355942.476074219,2579.29301490436
19,7837,Euston Path Rock,City of Boston, ,6,Allston-Brighton,0.39015654, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, ,DND,0,0,16856.3525391,546.238365048, ,INFO_Reallocation From Dept,7837,546.238365058,19,7837,0,16585,238,16852,0,238,98.4156183242,1.41229527653,1.41229527653,0,19,7837,16852,16585,238,0,0,0,29,0,16823,29,98.4156183242,1.41229527653,0,0,0,0.17208639924,0,99.8279136008,0.17208639924,16856.3530273438,546.23836503581
20,7838,Turnpike Overlook,MassDOT, ,6,Allston-Brighton,3.15, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,137407.734863,3711.08977408, ,INFO_Reallocation From Dept,7838,3711.08977401,20,7838,1,100135,8051,137427,1922,9973,72.8641387791,5.85838299606,7.25694368647,1.3985606904,20,7838,137427,100135,8051,0,0,3422,23897,1922,108186,29241,72.8641387791,5.85838299606,0,0,2.49004926252,17.3888682719,1.3985606904,78.7225217752,21.2774782248,137407.735595703,3711.089774028
21,7839,Foster Street Hill,Private, ,6,Allston-Brighton,3.40605727, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,180392.190918,2182.59222883, ,INFO_Reallocation From Dept,7839,2182.59222885,21,7839,0,178040,1404,180409,965,2369,98.6868726061,0.778231684672,1.31312739387,0.534895709194,21,7839,180409,178040,1404,0,0,0,0,965,179444,965,98.6868726061,0.778231684672,0,0,0,0,0.534895709194,99.4651042908,0.534895709194,180392.189697266,2182.5922288196
22,7840,Foster Street Rock,Private, ,6,Allston-Brighton,4.62718042, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,201563.552979,1942.77410531, ,INFO_Reallocation From Dept,7840,1942.77410525,22,7840,1,90646,44883,201552,38492,83375,44.9740017464,22.2686949274,41.3664959911,19.0978010637,22,7840,201552,90646,44883,0,0,27531,0,38492,135529,66023,44.9740017464,22.2686949274,0,0,13.6595022624,0,19.0978010637,67.2426966738,32.7573033262,201563.552490234,1942.77410525087
23,7841,Boston College Athletic Fields,Private, ,3,Allston-Brighton,9.72386143, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N, , ,0,0,423578.934326,3571.94170207, ,INFO_Reallocation From Dept,7841,3571.94170206,23,7841,0,4066,171798,423544,127697,299495,0.959994711293,40.5620195304,70.7116615983,30.1496420679,23,7841,423544,4066,171798,22371,0,119934,49,105326,198235,225309,0.959994711293,40.5620195304,5.28185973594,0,28.3167746444,0.0115690459551,24.8677823319,46.8038739777,53.1961260223,423578.934570313,3571.94170205183
24,7842,Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,18.90802906,Opposite 44 Lake Shore Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gallagher Mem. Park, ,0,0,829074.681396,4020.12458609,128,PARK_Maintenance_Region 4,7842,4020.12458606,24,7842,0,263651,85187,366475,17202,102389,71.9424244491,23.244968961,27.9388771403,4.69390817928,24,7842,829101,263651,85187,3015,462626,0,435,14187,814479,14622,31.79962393,10.274622754,0.363646889824,55.7985094699,0,0.052466466691,1.71113048953,98.2364030438,1.76359695622,829074.682617188,4020.12458610187
25,7843,Nonquit Green,Community Group/Nonprofit,Land Trust,1,Dorchester,0.35746179, ,Residential District,"Malls, Squares & Plazas",NULL,Nonquit Street Nbhd Assn,N,X, , ,0,0,17838.0144043,548.713004069, ,INFO_Reallocation From Dept,7843,548.713004115,25,7843,0,12456,3136,17839,2208,5344,69.8245417344,17.5794607321,29.9568361455,12.3773754134,25,7843,17839,12456,3136,0,0,39,0,2208,15592,2247,69.8245417344,17.5794607321,0,0,0.218622120074,0,12.3773754134,87.4040024665,12.5959975335,17838.0151367188,548.713004120553
26,7844,Mullen Square,City of Boston,A97,1,Dorchester,0.22675059,Edison Green,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,9877.43261719,409.187268576,210,PARK_Maintenance_Region 2,7844,409.187268572,26,7844,0,9219,654,9873,0,654,93.3758735947,6.62412640535,6.62412640535,0,26,7844,9873,9219,654,0,0,0,0,0,9873,0,93.3758735947,6.62412640535,0,0,0,0,0,100,0,9877.43139648438,409.187268609818
27,7845,Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30391727, ,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,143921.195801,1827.5341387,089,PARK_Cemetery Maintenance Request,7845,1827.53413866,27,7845,0,65285,71793,143904,4165,75958,45.3670502557,49.8895096731,52.7838003113,2.8942906382,27,7845,143904,65285,71793,0,0,2504,157,4165,137078,6826,45.3670502557,49.8895096731,0,0,1.7400489215,0.109100511452,2.8942906382,95.2565599288,4.74344007116,143921.196533203,1827.53413865085
28,7846,Calf Pasture,Commonwealth of Massachusetts,WPA/Ch91,3,Dorchester,7.44, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,COM,N,X,Columbia Point,UMass Boston,0,0,324096.698242,4005.45197164, ,INFO_Reallocation From Dept,7846,4005.45204548,28,7846,4529,61723,100176,318619,146675,246851,19.37203996,31.4406862114,77.4752918062,46.0346055948,28,7846,319561,61723,100176,89844,942,4397,5648,56831,252685,66876,19.3149351767,31.3480055451,28.1148200187,0.29477940049,1.37595013159,1.76742468574,17.7840850417,79.072540141,20.927459859,324096.766357422,4005.45204545542
29,7847,Meetinghouse Hill Overlook,City of Boston, ,6,Dorchester,0.40922366, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,14713.449707,760.882569524, ,PARK_Maintenance_Ground Maintenance,7847,760.882569548,29,7847,0,12556,1085,14715,981,2066,85.327896704,7.37342847435,14.040095141,6.66666666667,29,7847,14715,12556,1085,0,0,7,86,981,13641,1074,85.327896704,7.37342847435,0,0,0.0475705062861,0.584437648658,6.66666666667,92.7013251784,7.29867482161,14713.4497070313,760.882569565282
30,7848,Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.80889778,43 Downer Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,33938.4726562,936.103549499,092,PARK_Maintenance_Region 2,7848,936.103830339,30,7848,0,14989,14868,33941,4078,18946,44.1619280516,43.8054270646,55.8203942135,12.0149671489,30,7848,33941,14989,14868,0,0,0,6,4078,29857,4084,44.1619280516,43.8054270646,0,0,0,0.0176777348929,12.0149671489,87.9673551162,12.0326448838,33938.4758300781,936.103830312552
31,7849,The Humps,City of Boston, ,6,Dorchester,0.92720636, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,40564.796875,985.573943574, ,INFO_Reallocation From Dept,7849,985.573943522,31,7849,0,39393,1034,40567,7,1041,97.1060221362,2.548869771,2.56612517564,0.0172554046392,31,7849,40567,39393,1034,0,0,133,0,7,40427,140,97.1060221362,2.548869771,0,0,0.327852688146,0,0.0172554046392,99.6548919072,0.345108092785,40564.796875,985.57394353189
32,7850,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.3724094,Quincy Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,16344.8684082,529.790732071,251,PARK_Maintenance_Region 5,7850,529.790732156,32,7850,0,10856,4828,16344,660,5488,66.4219285365,29.5398923152,33.5780714635,4.03817914831,32,7850,16344,10856,4828,0,0,0,0,660,15684,660,66.4219285365,29.5398923152,0,0,0,0,4.03817914831,95.9618208517,4.03817914831,16344.8681640625,529.790732155621
33,7851,Deer Street Park,City of Boston,A97,3,Dorchester,0.24478116,Opposite 34 Deer Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,10740.0944824,487.057189419,080,PARK_Maintenance_Region 2,7851,487.057189585,33,7851,0,6536,1406,10737,2770,4176,60.8736146037,13.0949054671,38.8935456832,25.7986402161,33,7851,10737,6536,1406,0,0,25,0,2770,7942,2795,60.8736146037,13.0949054671,0,0,0.232839713141,0,25.7986402161,73.9685200708,26.0314799292,10740.0944824219,487.057189545558
34,7852,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,2.98993894, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,149575.529053,3618.98297514, ,INFO_Reallocation From Dept,7852,3618.98297516,34,7852,32316,14557,1520,110531,93876,95396,13.1700608879,1.37517981381,86.3070088934,84.9318290796,34,7852,117265,14557,1520,47649,6734,578,0,46227,70460,46805,12.4137636976,1.29620944016,40.6336076408,5.74254892764,0.492900695007,0,39.4209695988,60.0861297062,39.9138702938,149575.529296875,3618.98297513257
35,7853,Coppens Square,City of Boston,A97,1,Dorchester,0.35701954,Opposite 344 Bowdoin Str.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square,BPRD,0,0,15552.0478516,489.713740697,070,PARK_Maintenance_Region 2,7853,489.71374071,35,7853,0,3378,10831,15553,967,11798,21.7192824535,69.6392978847,75.8567478943,6.21745000964,35,7853,15553,3378,10831,0,0,0,377,967,14209,1344,21.7192824535,69.6392978847,0,0,0,2.42396965216,6.21745000964,91.3585803382,8.6414196618,15552.0478515625,489.713740707611
36,7854,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,350398.299561,6687.04662351, ,INFO_Reallocation From Dept,7854,6687.04686087,36,7854,16950,146944,86343,327491,91605,177948,44.8696300051,26.3649993435,54.3367603995,27.971761056,36,7854,333416,146944,86343,7932,5925,1652,947,83673,247144,86272,44.072270077,25.8964776735,2.37901000552,1.7770592893,0.495477121674,0.284029560669,25.0956762723,74.1248170454,25.8751829546,350398.306640625,6687.04686084596
37,7855,McConnell Park,City of Boston,A97,3,Dorchester,6.76,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,McConnell Plgd,BPRD,0,0,294548.781494,3157.21967905,191,PARK_Maintenance_Region 2,7855,3157.2196791,37,7855,0,77026,140845,294355,49843,190688,26.1677226478,47.8486861103,64.7816412155,16.9329551052,37,7855,294355,77026,140845,39494,0,61,26580,10349,257365,36990,26.1677226478,47.8486861103,13.4171323742,0,0.020723276316,9.02991286032,3.51582273106,87.4335411323,12.5664588677,294548.782226563,3157.21967907412
38,7856,Boston Common,City of Boston,A97/NHL,3,Back Bay/Beacon Hill,45.74,139 Tremont Str. @VIC,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1992352.51514,6329.29865579,027,PARK_Maintenance_Region 1,7856,6329.29865579,38,7856,7,715337,827702,1992343,433089,1260791,35.9043096495,41.5441517851,63.281824465,21.7376726799,38,7856,1992343,715337,827702,15943,0,13379,2836,417146,1558982,433361,35.9043096495,41.5441517851,0.800213617836,0,0.671520917834,0.142344967709,20.937459062,78.2486750524,21.7513249476,1992352.51391602,6329.2986557893
39,7857,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, , ,0,0,64864.2285156,1105.08148806,047,PARK_Cemetery Maintenance Request,7857,1105.08148808,39,7857,0,39358,23705,64869,1806,25511,60.6730487598,36.5428787248,39.3269512402,2.78407251538,39,7857,64869,39358,23705,0,0,0,0,1806,63063,1806,60.6730487598,36.5428787248,0,0,0,0,2.78407251538,97.2159274846,2.78407251538,64864.228515625,1105.08148805452
40,7858,Public Garden,City of Boston,A97,3,Back Bay/Beacon Hill,23.51,"Boylston, Arlington, Charles",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,1023949.01001,4131.46132623,246,PARK_Maintenance_Region 1,7858,4131.46132619,40,7858,2,516276,275095,897331,104406,379501,57.5346221183,30.6570262256,42.2921976394,11.6351714139,40,7858,1023947,516276,275095,0,126616,976,578,104406,917987,105960,50.4201877636,26.8661366262,0,12.3654837604,0.0953174334218,0.0564482341371,10.1964261822,89.6518081502,10.3481918498,1023949.00927734,4131.46132620492
41,7859,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,80878.5754395,1160.13387018,137,PARK_Cemetery Maintenance Request,7859,1160.1338701,41,7859,0,57253,17002,80879,5083,22085,70.7884617762,21.0215259833,27.3062228761,6.28469689289,41,7859,80879,57253,17002,0,0,1431,110,5083,74255,6624,70.7884617762,21.0215259833,0,0,1.76930970957,0.136005638052,6.28469689289,91.8099877595,8.19001224051,80878.5766601563,1160.13387013035
42,7860,Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11526636,Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,0,0,5021.09228516,330.554053117,237,PARK_Maintenance_Region 1,7860,330.554053071,42,7860,0,3406,1461,5016,129,1590,67.9027113238,29.1267942584,31.6985645933,2.57177033493,42,7860,5016,3406,1461,0,0,20,0,129,4867,149,67.9027113238,29.1267942584,0,0,0.398724082935,0,2.57177033493,97.0295055821,2.97049441786,5021.09204101563,330.554053070363
43,7861,Myrtle Street Playground,City of Boston,A97,3,Back Bay/Beacon Hill,0.14766565,Opposite 28 Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,7001.40869141,342.298423097,212,PARK_Maintenance_Region 1,7861,342.298423066,43,7861,0,4516,1468,6995,929,2397,64.5604002859,20.9864188706,34.2673338099,13.2809149392,43,7861,6995,4516,1468,0,0,82,0,929,5984,1011,64.5604002859,20.9864188706,0,0,1.17226590422,0,13.2809149392,85.5468191565,14.4531808435,7001.40893554688,342.298423096708
44,7862,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.32409576, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,N, , ,0,0,14117.8640137,596.068478488, ,INFO_Reallocation From Dept,7862,596.068478474,44,7862,0,13789,152,14116,0,152,97.6834797393,1.07679229243,1.07679229243,0,44,7862,14116,13789,152,0,0,0,175,0,13941,175,97.6834797393,1.07679229243,0,0,0,1.23972796826,0,98.7602720317,1.23972796826,14117.8640136719,596.068478457174
45,7863,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.23870543, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,53958.9677734,987.81635728, ,INFO_Reallocation From Dept,7863,987.816357289,45,7863,0,9405,11911,53957,29405,41316,17.4305465463,22.0749856367,76.5720851789,54.4970995422,45,7863,53957,9405,11911,0,0,1198,2038,29405,21316,32641,17.4305465463,22.0749856367,0,0,2.22028652445,3.77708175028,54.4970995422,39.505532183,60.494467817,53958.9677734375,987.816357305041
46,7864,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85428821,St. James Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,80774.2299805,1400.21641145,069,PARK_Maintenance_Region 1,7864,1400.21641144,46,7864,0,23735,5030,80767,51495,56525,29.3870021172,6.22779105328,69.9852662597,63.7574752065,46,7864,80767,23735,5030,0,0,507,0,51495,28765,52002,29.3870021172,6.22779105328,0,0,0.627731623064,0,63.7574752065,35.6147931705,64.3852068295,80774.232421875,1400.21641142319
47,7865,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.0626591, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boylston Str. Plaza, ,0,0,46290.2539062,901.777139417, ,INFO_Reallocation From Dept,7865,901.777139471,47,7865,0,12034,4030,46292,1832,5862,25.9958524151,8.70560788041,12.6630951352,3.95748725482,47,7865,46292,12034,4030,0,0,28396,0,1832,16064,30228,25.9958524151,8.70560788041,0,0,61.3410524497,0,3.95748725482,34.7014602955,65.2985397045,46290.25390625,901.777139462752
48,7866,Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.33235436, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,14108.8996582,475.648939315,058,PARK_Maintenance_Region 1,7866,475.648939309,48,7866,0,13280,673,14108,137,810,94.1309895095,4.77034306776,5.74142330593,0.971080238163,48,7866,14108,13280,673,0,0,18,0,137,13953,155,94.1309895095,4.77034306776,0,0,0.127587184576,0,0.971080238163,98.9013325773,1.09866742274,14108.8996582031,475.648939298845
