FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
316,8140,Gethsemane Cemetery,Private, ,4,West Roxbury,20.81197696, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,907832.703857,3774.16087903, ,INFO_Reallocation From Dept,8140,3774.16087902,308,8140,3,253110,525403,907832,127210,652613,27.8807092061,57.8744745724,71.8869790886,14.0125045163,308,8140,907832,253110,525403,180,0,1791,318,127030,778693,129139,27.8807092061,57.8744745724,0.0198274570625,0,0.197283197772,0.0350285074772,13.9926770592,85.7750112356,14.2249887644,907832.703979492,3774.16087905115
317,8141,Hancock Woods I,Commonwealth of Massachusetts,A97/WPA,2,West Roxbury,45.95, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,2001598.81665,8079.25444645, ,INFO_Reallocation From Dept,8141,8079.25444649,309,8141,54,1889171,101793,2001507,10537,112330,94.3874290722,5.08581783626,5.61227115369,0.526453317425,309,8141,2001507,1889171,101793,0,0,0,6,10537,1990964,10543,94.3874290722,5.08581783626,0,0,0,0.0002997741202,0.526453317425,99.4732469085,0.526753091546,2001598.8170166,8079.25444643482
318,8142,Hancock Woods II,Private,100/WPA,2,West Roxbury,4.59, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",NULL, ,N, , , ,0,0,199859.676514,2093.78216297, ,INFO_Reallocation From Dept,8142,2093.78216299,310,8142,4339,190385,4956,195522,0,4956,97.3726741748,2.53475312241,2.53475312241,0,310,8142,195522,190385,4956,0,0,181,0,0,195341,181,97.3726741748,2.53475312241,0,0,0.0925727028161,0,0,99.9074272972,0.0925727028161,199859.676391602,2093.78216301267
319,8143,Dana Road I,City of Boston, ,6,West Roxbury,2.57749731, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,118826.91748,3280.44945411, ,INFO_Reallocation From Dept,8143,3280.44945424,311,8143,0,111961,5369,118807,516,5885,94.2377132661,4.51909399278,4.953411836,0.434317843225,311,8143,118807,111961,5369,0,0,0,961,516,117330,1477,94.2377132661,4.51909399278,0,0,0,0.808874897944,0.434317843225,98.7568072588,1.24319274117,118826.917236328,3280.44945417071
320,8144,Dana Road II,Private, ,6,West Roxbury,0.35271219, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,8692.57006836,569.528232103, ,INFO_Reallocation From Dept,8144,569.52823199,312,8144,0,7621,1068,8689,0,1068,87.7085970768,12.2914029232,12.2914029232,0,312,8144,8689,7621,1068,0,0,0,0,0,8689,0,87.7085970768,12.2914029232,0,0,0,0,0,100,0,8692.57043457031,569.528232053744
321,8146,Sawmill Brook/Brook Farm,Commonwealth of Massachusetts,A97/NRHP/WPA,2,West Roxbury,146.63704255, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,6509298.09375,18133.7107212, ,INFO_Reallocation From Dept,8146,18133.7107212,313,8146,15,3286624,3117190,6446395,22158,3139348,50.983906509,48.355553763,48.6992807608,0.343726997803,313,8146,6509040,3286624,3117190,1521,62645,5057,15366,20637,6467980,41060,50.4932217347,47.8901650627,0.0233675011983,0.962430711749,0.0776919484286,0.236071678773,0.317051362413,99.3691850104,0.630814989614,6509298.09375,18133.7107212689
322,8147,Congregation Mishkan Tefia Cemetery,Private, ,4,West Roxbury,9.58687512, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,417611.704834,3035.37546812, ,INFO_Reallocation From Dept,8147,3035.37546809,314,8147,872,176994,214005,416745,23793,237798,42.4705755318,51.3515459094,57.060792571,5.70924666163,314,8147,416745,176994,214005,0,0,1577,376,23793,390999,25746,42.4705755318,51.3515459094,0,0,0.378408859134,0.0902230380688,5.70924666163,93.8221214412,6.17787855883,417611.704711914,3035.37546809437
323,8148,Draper Playground,City of Boston,A97,3,West Roxbury,5.86,68 Stimpson Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,0,0,255356.219727,2410.07537652,093,PARK_Maintenance_Region 4,8148,2410.07562361,315,8148,2,68840,137071,255400,38419,175490,26.953797964,53.669146437,68.7118245889,15.0426781519,315,8148,255400,68840,137071,11449,0,11022,48,26970,217360,38040,26.953797964,53.669146437,4.48277212216,0,4.31558339859,0.0187940485513,10.5599060298,85.1057165231,14.8942834769,255356.226806641,2410.07562364219
324,8149,Westerly Burying Ground,City of Boston,Ch114S7/A97/NR,4,West Roxbury,0.90346258,Centre Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,39355.5299072,963.021805095,320,PARK_Cemetery Maintenance Request,8149,963.021805064,316,8149,0,26446,12714,39357,197,12911,67.1951622329,32.3042914856,32.8048377671,0.500546281475,316,8149,39357,26446,12714,0,0,0,0,197,39160,197,67.1951622329,32.3042914856,0,0,0,0,0.500546281475,99.4994537185,0.500546281475,39355.5299072266,963.02180506534
325,8150,Piemonte Park,City of Boston,A97,1,West Roxbury,0.08956676,Opposite 200 Lasell Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,0,0,3901.59790039,322.616389439,239,PARK_Maintenance_Region 4,8150,322.616389471,317,8150,0,2522,1181,3899,170,1351,64.6832521159,30.289817902,34.6499102334,4.36009233137,317,8150,3899,2522,1181,0,0,0,26,170,3703,196,64.6832521159,30.289817902,0,0,0,0.66683765068,4.36009233137,94.973070018,5.02692998205,3901.59753417969,322.616389493763
