municipal,acs_year,med_c_r
Lawrence,2017-21,1303.0
Lanesborough,2017-21,1534.0
Lancaster,2017-21,1524.0
Lakeville,2017-21,1663.0
Kingston,2017-21,1060.0
Ipswich,2017-21,1271.0
Huntington,2017-21,1074.0
Hull,2017-21,1672.0
Hudson,2017-21,1364.0
Hubbardston,2017-21,1052.0
Hopkinton,2017-21,2082.0
Hopedale,2017-21,1340.0
Holyoke,2017-21,908.0
Holliston,2017-21,1235.0
Holland,2017-21,1172.0
Holden,2017-21,1342.0
Holbrook,2017-21,1015.0
Hinsdale,2017-21,849.0
Hingham,2017-21,2149.0
Hawley,2017-21,825.0
Haverhill,2017-21,1328.0
Tolland,2017-21,1375.0
Hatfield,2017-21,1164.0
Harwich,2017-21,1282.0
Harvard,2017-21,1125.0
Hardwick,2017-21,1013.0
Hanson,2017-21,1732.0
Hanover,2017-21,1228.0
Hancock,2017-21,1011.0
Hampden,2017-21,2045.0
Hamilton,2017-21,1356.0
Halifax,2017-21,1255.0
Hadley,2017-21,1246.0
Groveland,2017-21,1432.0
Groton,2017-21,1277.0
Greenfield,2017-21,934.0
Great Barrington,2017-21,991.0
Gloucester,2017-21,1256.0
Gill,2017-21,855.0
Georgetown,2017-21,1942.0
Gardner,2017-21,915.0
Freetown,2017-21,1561.0
Franklin,2017-21,1519.0
Framingham,2017-21,1538.0
Foxborough,2017-21,1577.0
Florida,2017-21,1139.0
Fitchburg,2017-21,1008.0
Falmouth,2017-21,1221.0
Fall River,2017-21,918.0
Fairhaven,2017-21,953.0
Everett,2017-21,1700.0
Essex,2017-21,1534.0
Granville,2017-21,1667.0
Erving,2017-21,855.0
Egremont,2017-21,1276.0
Edgartown,2017-21,1408.0
Easton,2017-21,1689.0
Easthampton,2017-21,1044.0
Eastham,2017-21,1639.0
East Longmeadow,2017-21,962.0
East Brookfield,2017-21,887.0
East Bridgewater,2017-21,1292.0
Duxbury,2017-21,1743.0
Dunstable,2017-21,1625.0
Dudley,2017-21,1050.0
Dracut,2017-21,1467.0
Dover,2017-21,2575.0
Douglas,2017-21,1274.0
Dighton,2017-21,1186.0
Dennis,2017-21,1300.0
Deerfield,2017-21,961.0
Dedham,2017-21,1795.0
Dartmouth,2017-21,1157.0
Danvers,2017-21,1681.0
Dalton,2017-21,903.0
Cummington,2017-21,938.0
Conway,2017-21,1412.0
Concord,2017-21,2271.0
Colrain,2017-21,1006.0
Cohasset,2017-21,1250.0
Clinton,2017-21,1186.0
Clarksburg,2017-21,950.0
Chilmark,2017-21,1679.0
Chicopee,2017-21,1006.0
Chesterfield,2017-21,1094.0
Chester,2017-21,978.0
Cheshire,2017-21,1250.0
Chelsea,2017-21,1639.0
Chelmsford,2017-21,1716.0
Chatham,2017-21,1132.0
Charlton,2017-21,1081.0
Charlemont,2017-21,1025.0
Carver,2017-21,1573.0
Carlisle,2017-21,1389.0
Canton,2017-21,1931.0
Cambridge,2017-21,2388.0
Burlington,2017-21,2165.0
Buckland,2017-21,852.0
Brookline,2017-21,2452.0
Brookfield,2017-21,955.0
Brockton,2017-21,1311.0
Brimfield,2017-21,825.0
Bridgewater,2017-21,1760.0
Brewster,2017-21,1360.0
Braintree,2017-21,1602.0
Boylston,2017-21,1513.0
Boxford,2017-21,914.0
Boxborough,2017-21,1458.0
Bourne,2017-21,1346.0
Boston,2017-21,1783.0
Blandford,2017-21,820.0
Blackstone,2017-21,1075.0
Billerica,2017-21,1754.0
Beverly,2017-21,1439.0
Bernardston,2017-21,890.0
Berlin,2017-21,792.0
Belmont,2017-21,2215.0
Bellingham,2017-21,1628.0
Belchertown,2017-21,1117.0
Bedford,2017-21,2094.0
Becket,2017-21,1469.0
Barre,2017-21,1112.0
Barnstable,2017-21,1569.0
Ayer,2017-21,1171.0
Avon,2017-21,1419.0
Auburn,2017-21,1007.0
Attleboro,2017-21,1261.0
Athol,2017-21,889.0
Granby,2017-21,861.0
Ashland,2017-21,2018.0
Ashfield,2017-21,840.0
Ashby,2017-21,1024.0
Ashburnham,2017-21,1907.0
Arlington,2017-21,1797.0
Aquinnah,2017-21,1297.0
Andover,2017-21,1771.0
Amherst,2017-21,1340.0
Amesbury,2017-21,1245.0
Agawam,2017-21,1173.0
Adams,2017-21,837.0
Acushnet,2017-21,952.0
Acton,2017-21,1661.0
Abington,2017-21,1365.0
Grafton,2017-21,1234.0
Goshen,2017-21,1271.0
Abington,2014-18,1167.0
Acton,2014-18,1377.0
Acushnet,2014-18,807.0
Adams,2014-18,745.0
Agawam,2014-18,1044.0
Alford,2014-18,0.0
Amesbury,2014-18,1144.0
Amherst,2014-18,1312.0
Andover,2014-18,1515.0
Arlington,2014-18,1645.0
Ashburnham,2014-18,1579.0
Ashby,2014-18,1175.0
Ashfield,2014-18,882.0
Ashland,2014-18,1340.0
Athol,2014-18,885.0
Attleboro,2014-18,1057.0
Auburn,2014-18,954.0
Avon,2014-18,1087.0
Ayer,2014-18,1015.0
Barnstable,2014-18,1299.0
Barre,2014-18,985.0
Becket,2014-18,1118.0
Bedford,2014-18,1843.0
Belchertown,2014-18,979.0
Bellingham,2014-18,1147.0
Belmont,2014-18,1903.0
Berkley,2014-18,0.0
Berlin,2014-18,1101.0
Bernardston,2014-18,899.0
Beverly,2014-18,1212.0
Billerica,2014-18,1426.0
Blackstone,2014-18,892.0
Blandford,2014-18,1675.0
Bolton,2014-18,875.0
Boston,2014-18,1539.0
Bourne,2014-18,1315.0
Boxborough,2014-18,1097.0
Boxford,2014-18,850.0
Boylston,2014-18,903.0
Braintree,2014-18,1424.0
Brewster,2014-18,917.0
Bridgewater,2014-18,1495.0
Brimfield,2014-18,1043.0
Brockton,2014-18,1088.0
Brookfield,2014-18,1008.0
Brookline,2014-18,2194.0
Buckland,2014-18,865.0
Burlington,2014-18,1919.0
