municipal,acs_year,med_c_r
New Salem,2010-14,1538.0
Newbury,2010-14,1123.0
Newburyport,2010-14,1089.0
Newton,2010-14,1672.0
Norfolk,2010-14,1400.0
North Adams,2010-14,672.0
North Andover,2010-14,1312.0
North Attleborough,2010-14,958.0
North Brookfield,2010-14,762.0
North Reading,2010-14,1420.0
Northampton,2010-14,965.0
Northborough,2010-14,1284.0
Northbridge,2010-14,871.0
Northfield,2010-14,789.0
Norton,2010-14,1123.0
Norwell,2010-14,1325.0
Norwood,2010-14,1229.0
Oak Bluffs,2010-14,1427.0
Oakham,2010-14,1039.0
Orange,2010-14,704.0
Orleans,2010-14,933.0
Otis,2010-14,656.0
Oxford,2010-14,859.0
Palmer,2010-14,751.0
Paxton,2010-14,993.0
Peabody,2010-14,1241.0
Pelham,2010-14,1288.0
Pembroke,2010-14,1357.0
Pepperell,2010-14,1153.0
Peru,2010-14,713.0
Petersham,2010-14,870.0
Phillipston,2010-14,1208.0
Pittsfield,2010-14,762.0
Plainfield,2010-14,606.0
Plainville,2010-14,1111.0
Plymouth,2010-14,1287.0
Plympton,2010-14,650.0
Princeton,2010-14,1112.0
Provincetown,2010-14,977.0
Quincy,2010-14,1235.0
Randolph,2010-14,1290.0
Raynham,2010-14,1281.0
Reading,2010-14,1248.0
Rehoboth,2010-14,1095.0
Revere,2010-14,1176.0
Richmond,2010-14,1131.0
Rochester,2010-14,1138.0
Rockland,2010-14,1092.0
Rockport,2010-14,992.0
Rowe,2010-14,995.0
Rowley,2010-14,1399.0
Royalston,2010-14,1067.0
Russell,2010-14,905.0
Rutland,2010-14,858.0
Salem,2010-14,1082.0
Salisbury,2010-14,1086.0
Sandisfield,2010-14,883.0
Sandwich,2010-14,1356.0
Saugus,2010-14,1139.0
Savoy,2010-14,800.0
Scituate,2010-14,974.0
Seekonk,2010-14,1094.0
Sharon,2010-14,1609.0
Sheffield,2010-14,855.0
Shelburne,2010-14,805.0
Sherborn,2010-14,2001.0
Shirley,2010-14,1127.0
Shrewsbury,2010-14,1232.0
Shutesbury,2010-14,1238.0
Somerset,2010-14,924.0
Somerville,2010-14,1470.0
South Hadley,2010-14,917.0
Southampton,2010-14,989.0
Southborough,2010-14,1322.0
Southbridge,2010-14,839.0
Southwick,2010-14,896.0
Spencer,2010-14,810.0
Springfield,2010-14,813.0
Sterling,2010-14,1131.0
Stockbridge,2010-14,1012.0
Stoneham,2010-14,1270.0
Stoughton,2010-14,1112.0
Stow,2010-14,1378.0
Sturbridge,2010-14,864.0
Sudbury,2010-14,533.0
Sunderland,2010-14,1148.0
Sutton,2010-14,865.0
Swampscott,2010-14,1283.0
Swansea,2010-14,877.0
Taunton,2010-14,912.0
Templeton,2010-14,604.0
Tewksbury,2010-14,1498.0
Tisbury,2010-14,1304.0
Tolland,2010-14,1063.0
Topsfield,2010-14,886.0
Townsend,2010-14,946.0
Truro,2010-14,945.0
Tyngsborough,2010-14,1048.0
Tyringham,2010-14,1172.0
Upton,2010-14,940.0
Uxbridge,2010-14,1151.0
Wakefield,2010-14,1179.0
Wales,2010-14,891.0
Walpole,2010-14,1352.0
Waltham,2010-14,1358.0
Ware,2010-14,784.0
Wareham,2010-14,1047.0
Warren,2010-14,803.0
Warwick,2010-14,1120.0
Washington,2010-14,0.0
Watertown,2010-14,1530.0
Wayland,2010-14,1025.0
Webster,2010-14,826.0
Wellesley,2010-14,1651.0
Wellfleet,2010-14,872.0
Wendell,2010-14,939.0
Wenham,2010-14,882.0
West Boylston,2010-14,854.0
West Bridgewater,2010-14,1094.0
West Brookfield,2010-14,994.0
West Newbury,2010-14,1673.0
West Springfield,2010-14,836.0
West Stockbridge,2010-14,1104.0
West Tisbury,2010-14,1595.0
Westborough,2010-14,1285.0
Westfield,2010-14,848.0
Westford,2010-14,1413.0
Westhampton,2010-14,1250.0
Westminster,2010-14,1002.0
Weston,2010-14,1307.0
Westport,2010-14,954.0
Westwood,2010-14,1338.0
Weymouth,2010-14,1138.0
Whately,2010-14,1306.0
Whitman,2010-14,1083.0
Wilbraham,2010-14,728.0
Williamsburg,2010-14,880.0
Williamstown,2010-14,857.0
Wilmington,2010-14,1556.0
Winchendon,2010-14,747.0
Winchester,2010-14,1566.0
Windsor,2010-14,0.0
Winthrop,2010-14,1263.0
Woburn,2010-14,1292.0
Worcester,2010-14,935.0
Worthington,2010-14,616.0
Wrentham,2010-14,1106.0
Yarmouth,2010-14,1208.0
Massachusetts,2010-14,1088.0
Barnstable County,2010-14,1101.0
Berkshire County,2010-14,754.0
Bristol County,2010-14,813.0
Dukes County,2010-14,1461.0
Essex County,2010-14,1063.0
Franklin County,2010-14,836.0
Hampden County,2010-14,807.0
Hampshire County,2010-14,946.0
Middlesex County,2010-14,1320.0
Nantucket County,2010-14,1742.0
Norfolk County,2010-14,1305.0
Plymouth County,2010-14,1120.0
Suffolk County,2010-14,1279.0
Worcester County,2010-14,927.0
Abington,2005-09,1060.0
Worcester County,2005-09,847.0
"Suffolk County
Suffolk County",2005-09,1144.0
Plymouth County,2005-09,1009.0
Norfolk County,2005-09,1193.0
Nantucket County,2005-09,1575.0
Middlesex County,2005-09,1191.0
Hampshire County,2005-09,847.0
Hampden County,2005-09,716.0
Franklin County,2005-09,786.0
Essex County,2005-09,971.0
Dukes County,2005-09,1159.0
Bristol County,2005-09,769.0
Berkshire County,2005-09,690.0
Barnstable County,2005-09,1045.0
Massachusetts,2005-09,987.0
Yarmouth,2005-09,1152.0
Wrentham,2005-09,1008.0
Worthington,2005-09,775.0
Worcester,2005-09,842.0
Woburn,2005-09,1169.0
Winthrop,2005-09,1199.0
Windsor,2005-09,0.0
Winchester,2005-09,1302.0
Winchendon,2005-09,771.0
Wilmington,2005-09,1518.0
Williamstown,2005-09,747.0
Williamsburg,2005-09,699.0
Wilbraham,2005-09,498.0
Whitman,2005-09,883.0
Whately,2005-09,929.0
Weymouth,2005-09,1121.0
Westwood,2005-09,1143.0
Westport,2005-09,819.0
Weston,2005-09,1956.0
Westminster,2005-09,1073.0
Westhampton,2005-09,1281.0
Westford,2005-09,1148.0
Westfield,2005-09,802.0
Westborough,2005-09,1194.0
West Tisbury,2005-09,1321.0
West Stockbridge,2005-09,815.0
West Springfield,2005-09,717.0
West Newbury,2005-09,517.0
West Brookfield,2005-09,777.0
West Bridgewater,2005-09,750.0
West Boylston,2005-09,868.0
Wenham,2005-09,1004.0
Wendell,2005-09,967.0
Wellfleet,2005-09,1586.0
Wellesley,2005-09,1170.0
Webster,2005-09,754.0
Wayland,2005-09,1477.0
Watertown,2005-09,1339.0
Washington,2005-09,0.0
Warwick,2005-09,633.0
Warren,2005-09,668.0
Wareham,2005-09,895.0
Ware,2005-09,638.0
Waltham,2005-09,1248.0
Walpole,2005-09,1235.0
Wales,2005-09,704.0
Wakefield,2005-09,1060.0
Uxbridge,2005-09,911.0
Upton,2005-09,932.0
Tyringham,2005-09,782.0
Tyngsborough,2005-09,1119.0
Truro,2005-09,1022.0
Townsend,2005-09,839.0
Topsfield,2005-09,392.0
Tolland,2005-09,1110.0
Tisbury,2005-09,1338.0
Tewksbury,2005-09,1176.0
Templeton,2005-09,649.0
Taunton,2005-09,879.0
Swansea,2005-09,824.0
Swampscott,2005-09,1184.0
Sutton,2005-09,787.0
Sunderland,2005-09,986.0
Sudbury,2005-09,299.0
Sturbridge,2005-09,780.0
Stow,2005-09,1529.0
Stoughton,2005-09,1077.0
Stoneham,2005-09,1141.0
Stockbridge,2005-09,881.0
Sterling,2005-09,967.0
Springfield,2005-09,714.0
Spencer,2005-09,760.0
Southwick,2005-09,811.0
Southbridge,2005-09,810.0
Southborough,2005-09,848.0
Southampton,2005-09,1087.0
South Hadley,2005-09,813.0
Somerville,2005-09,1283.0
Somerset,2005-09,761.0
Shutesbury,2005-09,863.0
Shrewsbury,2005-09,1096.0
Shirley,2005-09,994.0
Sherborn,2005-09,1052.0
Shelburne,2005-09,855.0
Sheffield,2005-09,794.0
Sharon,2005-09,1139.0
Seekonk,2005-09,1068.0
Scituate,2005-09,1019.0
Savoy,2005-09,725.0
Saugus,2005-09,1077.0
Sandwich,2005-09,1137.0
Sandisfield,2005-09,825.0
Salisbury,2005-09,1035.0
Salem,2005-09,1005.0
Rutland,2005-09,866.0
Russell,2005-09,732.0
Royalston,2005-09,1150.0
Rowley,2005-09,1055.0
Rowe,2005-09,1031.0
Rockport,2005-09,877.0
Rockland,2005-09,1034.0
Rochester,2005-09,863.0
Richmond,2005-09,1042.0
Revere,2005-09,1070.0
Rehoboth,2005-09,1056.0
Reading,2005-09,920.0
Raynham,2005-09,1155.0
Randolph,2005-09,1109.0
Quincy,2005-09,1114.0
Provincetown,2005-09,878.0
Princeton,2005-09,1101.0
Plympton,2005-09,710.0
Plymouth,2005-09,1134.0
Plainville,2005-09,1137.0
Plainfield,2005-09,781.0
Pittsfield,2005-09,674.0
Phillipston,2005-09,975.0
Petersham,2005-09,818.0
Peru,2005-09,344.0
Pepperell,2005-09,824.0
Pembroke,2005-09,865.0
Pelham,2005-09,967.0
Peabody,2005-09,1080.0
Paxton,2005-09,902.0
Palmer,2005-09,675.0
Oxford,2005-09,753.0
Otis,2005-09,891.0
Orleans,2005-09,792.0
Orange,2005-09,669.0
Oakham,2005-09,875.0
Oak Bluffs,2005-09,1086.0
Norwood,2005-09,1213.0
Norwell,2005-09,1330.0
Norton,2005-09,1014.0
Northfield,2005-09,793.0
Northbridge,2005-09,933.0
Northborough,2005-09,986.0
Northampton,2005-09,844.0
North Reading,2005-09,1296.0
North Brookfield,2005-09,749.0
North Attleborough,2005-09,981.0
North Andover,2005-09,1156.0
North Adams,2005-09,629.0
Norfolk,2005-09,408.0
Newton,2005-09,1474.0
Newburyport,2005-09,1051.0
Newbury,2005-09,1270.0
New Salem,2005-09,957.0
New Marlborough,2005-09,1021.0
New Braintree,2005-09,975.0
New Bedford,2005-09,717.0
New Ashford,2005-09,1083.0
Needham,2005-09,1537.0
Natick,2005-09,1215.0
Nantucket,2005-09,1575.0
Nahant,2005-09,1257.0
Mount Washington,2005-09,1583.0
Montgomery,2005-09,692.0
Monterey,2005-09,982.0
Montague,2005-09,804.0
Monson,2005-09,623.0
Monroe,2005-09,1583.0
Milton,2005-09,1288.0
Millville,2005-09,941.0
Millis,2005-09,1067.0
Millbury,2005-09,893.0
Milford,2005-09,973.0
Middleton,2005-09,910.0
Middlefield,2005-09,0.0
Middleborough,2005-09,954.0
Methuen,2005-09,908.0
Merrimac,2005-09,957.0
Mendon,2005-09,1008.0
Melrose,2005-09,1062.0
Medway,2005-09,888.0
Medford,2005-09,1252.0
Medfield,2005-09,984.0
Maynard,2005-09,978.0
Mattapoisett,2005-09,1183.0
Mashpee,2005-09,1073.0
Marshfield,2005-09,1072.0
Marlborough,2005-09,1030.0
Marion,2005-09,1508.0
Marblehead,2005-09,1089.0
Mansfield,2005-09,1046.0
Manchester,2005-09,1257.0
Malden,2005-09,1153.0
Lynnfield,2005-09,1167.0
Lynn,2005-09,906.0
Lunenburg,2005-09,788.0
Ludlow,2005-09,853.0
Lowell,2005-09,895.0
Longmeadow,2005-09,1261.0
Littleton,2005-09,741.0
Lincoln,2005-09,2001.0
Leyden,2005-09,1025.0
Lexington,2005-09,1846.0
Leverett,2005-09,989.0
Leominster,2005-09,817.0
Lenox,2005-09,783.0
Leicester,2005-09,721.0
Lee,2005-09,707.0
Lawrence,2005-09,922.0
Lanesborough,2005-09,751.0
Lancaster,2005-09,946.0
Lakeville,2005-09,831.0
Kingston,2005-09,1209.0
Ipswich,2005-09,874.0
Huntington,2005-09,807.0
Hull,2005-09,1246.0
Hudson,2005-09,1026.0
Hubbardston,2005-09,764.0
Hopkinton,2005-09,961.0
Hopedale,2005-09,978.0
Holyoke,2005-09,668.0
Holliston,2005-09,885.0
Holland,2005-09,981.0
Holden,2005-09,898.0
Holbrook,2005-09,1083.0
Hinsdale,2005-09,655.0
Hingham,2005-09,1484.0
Heath,2005-09,680.0
Hawley,2005-09,975.0
Haverhill,2005-09,961.0
Hatfield,2005-09,764.0
Harwich,2005-09,915.0
Harvard,2005-09,1328.0
Hardwick,2005-09,465.0
Hanson,2005-09,956.0
Hanover,2005-09,761.0
Hancock,2005-09,890.0
Hampden,2005-09,618.0
Hamilton,2005-09,1064.0
Halifax,2005-09,989.0
Hadley,2005-09,736.0
Groveland,2005-09,1188.0
Groton,2005-09,1503.0
Greenfield,2005-09,739.0
Great Barrington,2005-09,815.0
Granville,2005-09,654.0
Granby,2005-09,775.0
Grafton,2005-09,883.0
Gosnold,2005-09,0.0
Goshen,2005-09,1298.0
Gloucester,2005-09,958.0
Gill,2005-09,658.0
Georgetown,2005-09,922.0
Aquinnah,2005-09,1014.0
Gardner,2005-09,694.0
Freetown,2005-09,1138.0
Franklin,2005-09,1147.0
Framingham,2005-09,1080.0
Foxborough,2005-09,1107.0
Florida,2005-09,1288.0
Fitchburg,2005-09,800.0
Falmouth,2005-09,930.0
Fall River,2005-09,649.0
Fairhaven,2005-09,826.0
Everett,2005-09,1112.0
Essex,2005-09,1145.0
Erving,2005-09,800.0
Egremont,2005-09,873.0
Edgartown,2005-09,1178.0
Easton,2005-09,1055.0
Easthampton,2005-09,799.0
Eastham,2005-09,1205.0
East Longmeadow,2005-09,374.0
East Brookfield,2005-09,1018.0
East Bridgewater,2005-09,1048.0
Duxbury,2005-09,884.0
Dunstable,2005-09,493.0
Dudley,2005-09,740.0
Dracut,2005-09,1070.0
Dover,2005-09,2001.0
Douglas,2005-09,879.0
Dighton,2005-09,900.0
Dennis,2005-09,1026.0
Deerfield,2005-09,760.0
Dedham,2005-09,1234.0
Dartmouth,2005-09,1033.0
Danvers,2005-09,1103.0
Dalton,2005-09,720.0
Cummington,2005-09,720.0
Conway,2005-09,940.0
Concord,2005-09,1262.0
Colrain,2005-09,894.0
Cohasset,2005-09,1500.0
Clinton,2005-09,885.0
Clarksburg,2005-09,742.0
Chilmark,2005-09,1200.0
Chicopee,2005-09,693.0
Chesterfield,2005-09,904.0
Chester,2005-09,683.0
Cheshire,2005-09,749.0
Chelsea,2005-09,988.0
Chelmsford,2005-09,1099.0
Chatham,2005-09,933.0
Charlton,2005-09,974.0
Charlemont,2005-09,631.0
Carver,2005-09,832.0
Carlisle,2005-09,2001.0
Canton,2005-09,1249.0
Cambridge,2005-09,1415.0
Burlington,2005-09,1505.0
Buckland,2005-09,789.0
Brookline,2005-09,1665.0
Brookfield,2005-09,584.0
Brockton,2005-09,940.0
Brimfield,2005-09,888.0
Bridgewater,2005-09,1117.0
Brewster,2005-09,1054.0
Braintree,2005-09,1180.0
Boylston,2005-09,596.0
Boxford,2005-09,683.0
Boxborough,2005-09,1010.0
Bourne,2005-09,967.0
Boston,2005-09,1161.0
Bolton,2005-09,1423.0
Blandford,2005-09,786.0
Blackstone,2005-09,755.0
Billerica,2005-09,1152.0
Beverly,2005-09,1023.0
Bernardston,2005-09,1139.0
Berlin,2005-09,930.0
Berkley,2005-09,1038.0
Belmont,2005-09,1538.0
Bellingham,2005-09,1122.0
Belchertown,2005-09,737.0
Bedford,2005-09,1306.0
Becket,2005-09,1588.0
Barre,2005-09,926.0
Barnstable,2005-09,1124.0
Ayer,2005-09,855.0
Avon,2005-09,1140.0
Auburn,2005-09,806.0
Attleboro,2005-09,918.0
Athol,2005-09,795.0
Ashland,2005-09,1139.0
Ashfield,2005-09,967.0
Ashby,2005-09,723.0
Ashburnham,2005-09,969.0
Arlington,2005-09,1235.0
Andover,2005-09,975.0
Amherst,2005-09,1074.0
Amesbury,2005-09,906.0
Alford,2005-09,1125.0
Agawam,2005-09,817.0
Adams,2005-09,553.0
Acushnet,2005-09,744.0
Acton,2005-09,1044.0
