FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
75,Commonwealth Avenue,6276000,3,2,1,2019,SBL,129.116831573,129.116831581349
76,Truman Highway,6233200,5,3,0,0,BL,456.8209471,456.820975849896
77,American Legion Highway,6291500,5,2,1,2009,SLM,158.464823909,158.464823903103
78,American Legion Highway,5121000,5,2,1,2009,SLM,353.633470368,353.633470368131
79,Walk Hill Street,5690500,5,2,0,2014,SLM,81.3441965751,81.3441965722775
80,Western Avenue,5859000,3,1,0,2021,BL,27.3131272778,27.3131272779205
81,Cummins Highway,5162100,3,2,0,2020,SBL,124.919262655,124.919262652286
82,Mount Hope Street,5218800,0,2,0,2021,CFBL,196.742148234,196.742148233717
83,South Street,5735800,5,2,0,2010,SLM,18.3633404997,18.3633405035829
84,South Street,5736000,5,2,0,2010,SLM,21.1767448992,21.1767448931954
85,Centre Street,4736000,5,2,0,2011,SLM,51.3333843567,51.3333843720953
86,Centre Street,5852700,5,2,0,2010,BL,56.1343163113,56.134316316719
87,Centre Street,4721700,5,2,0,2010,BL,72.348123147,72.3481231542946
88,Perkins Street,5291300,5,2,0,2010,SLM,58.2671421789,58.2671421643949
89,Centre Street,4661200,5,2,0,2010,SLM,52.9881960903,52.9881960903091
90,River Street,5858200,5,2,0,2013,SLM,5.91710186328,5.91710186327665
91,Jewish War Veterans Drive,5190500,5,2,0,2009,BL,577.676676891,577.67667690409
92,Seaver Street,5148900,3,2,1,2016,BFBL,182.267696655,182.267696652693
93,Walk Hill Street,5688700,5,2,0,2015,BL,172.600952399,172.60095239641
94,American Legion Highway,5119700,5,2,1,2020,SBL,269.609219199,269.609219187642
95,Arborway,5241800,0,3,1,2018,SBL,45.7429968281,45.7429968281087
96,James Shea Circle,5764000,2,1,1,2018,SBL,41.3230334364,41.3230334376637
97,Forest Hills Entrance Drive,5630000,5,2,0,2009,BL,324.459003836,324.459003844079
98,Williams Street,4756700,0,2,0,2017,SLMTC,71.1281166679,71.1281166707809
99,Centre Street,4650900,5,2,0,2010,SLM,30.3859082306,30.3859082274111
100,Centre Street,4638100,5,2,0,2010,BLSL,23.9129363588,23.9129363510733
101,Huntington Avenue,4587900,3,2,0,2013,SLM,53.7372394321,53.7372394321161
102,River Street,5041400,5,2,0,2013,SLM,117.236820043,117.236820036311
103,Blue Hill Avenue,6257501,2,1,1,2010,BL,43.9302017717,43.9302017714092
104,Blue Hill Avenue,6229400,2,2,1,2010,BL,107.755771766,107.75577176955
105,Blue Hill Avenue,6229600,2,2,1,2010,BL,98.99602012,98.9960201162549
106,Walk Hill Street,4972400,5,2,0,2014,SLM,119.292649802,119.292649806133
107,Blue Hill Avenue,5158300,2,2,1,2010,BL,21.2588333736,21.258833373838
108,Blue Hill Avenue,6223700,2,2,1,2010,BL,189.956020101,189.956020102693
109,Walk Hill Street,5736300,5,2,0,2015,BL,184.047114481,184.047114482938
110,Tremont Street,4586700,5,2,0,2015,SLM,119.982016075,119.982016083691
111,Huntington Avenue,5229200,3,2,1,2013,SLM,199.152100004,199.152100018481
112,Huntington Avenue,5229300,3,2,1,2013,SLM,55.9370283321,55.937028326749
113,Huntington Avenue,6241601,3,2,1,2013,SLM,100.604242456,100.6042424604
114,Mountfort Street,5660100,0,2,0,2017,SLM,74.5631284451,74.5631004026435
115,Bay State Road,4495700,0,2,0,2019,CFBL,255.0730628,255.073062808503
116,Commonwealth Avenue,5126800,3,2,1,2008,BL,210.962189235,210.962189234141
117,Walnut Avenue,5205900,6,2,0,2011,SLM,46.7117240316,46.7117240369325
118,Ruggles Street,4581300,5,2,0,2010,SLM,103.754976842,103.754963799146
119,Columbus Avenue,5194100,3,2,0,2018,SBL,51.4867602339,51.4867726165024
120,Huntington Avenue,5595000,3,2,1,2012,SLM,82.5413172503,82.5413172484422
121,Westland Avenue,5301200,5,2,0,2017,SBL,151.421835734,151.4218357205
122,Massachusetts Avenue,4518700,3,2,0,2016,SBLBL,66.4990795144,66.4990795135515
123,Westland Avenue,5301100,5,2,0,2017,SBL,74.1059807456,74.1059807594402
124,Westland Avenue,4532100,5,2,0,2017,BL,84.4304510607,84.4304510538767
125,Commonwealth Avenue,5859201,3,1,1,2010,BL,15.1613590422,15.16135904208
126,Ruggles Street,5406900,5,2,0,2010,SLM,23.4418810475,23.4418810557926
127,Forsyth Way,6256000,5,2,1,2011,BL,104.698621788,104.698565520732
128,Huntington Avenue,5594700,3,2,1,2012,SLM,283.123711235,283.123711241685
129,Beacon Street,5820300,3,2,0,2010,BL,110.03709761,110.03709761008
130,Commonwealth Avenue,6228200,3,2,1,2009,BL,104.102600899,104.102600898697
131,Bay State Road,5655200,6,2,0,2019,CFBL,48.4422746019,48.4422746094164
132,Commonwealth Avenue,6209400,3,2,1,2010,BL,175.298265051,175.298265050919
