FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
620,Freeport Street,4754800,3,2,0,2013,BL,60.2526777063,60.252677711869
621,Freeport Street,4757200,3,2,0,2013,BL,61.1732642103,61.1732641962798
622,Dorchester Avenue,5709800,3,2,0,2011,BL,19.0527242037,19.0527242039225
623,Dorchester Avenue,5628001,3,1,0,2011,BL,66.7527487067,66.7527487066824
624,A Street,5718000,5,2,0,2013,BLSL,42.9984322253,42.9984322322459
625,Broad Street,5279000,5,2,0,2013,SLM,12.6251163499,12.6251163451294
626,Broad Street,5279001,5,2,0,2013,SLM,50.5688591142,50.5688591076639
627,John F. Fitzgerald Surface Road,45230200,3,2,0,2011,BL,133.005810409,133.005810392226
628,John F. Fitzgerald Surface Road,45231900,3,2,0,2011,BL,74.4569791925,74.4569791948132
629,D Street,4571700,5,2,0,2013,SLM,52.578159858,52.5781598529977
630,A Street,5398700,5,2,0,2013,BL,37.9957760019,37.9957759982007
631,Dorchester Avenue,4539100,3,2,1,2011,SLM,67.5892763736,67.589276377278
632,Kneeland Street,5233100,3,2,0,2017,BL,49.4780278617,49.478027855539
633,Kneeland Street,5233000,3,2,0,2017,BL,60.9016825219,60.9016825301443
634,Essex Street,5787800,5,2,0,2012,SLM,35.741060468,35.7410604836013
635,Essex Street,5862300,5,2,0,2012,SLM,52.2952150671,52.2952150597828
636,Surface Artery,6293700,3,2,0,2011,BL,158.310463908,158.310463915332
637,Atlantic Avenue,45234000,3,2,0,2011,BL,75.4595793846,75.4595793846048
638,Milk Street,4456600,5,2,0,2011,BL,68.2348569719,68.234856964539
639,Milk Street,4456500,5,2,0,2011,SLM,45.5642704608,45.5642704607837
640,Milk Street,5237700,5,2,0,2011,SLM,38.4310377577,38.4310377651537
641,Post Office Square,5481700,3,2,0,2012,BL,91.5929236773,91.5929514655838
642,Franklin Street,5647800,5,2,0,2011,BL,17.1704123594,17.1704123593834
643,John F. Fitzgerald Surface Road,45228800,3,2,0,2014,BL,108.363387912,108.363387914017
644,Cross Street,5860700,3,2,0,2014,BL,57.0095397142,57.0095397119613
645,Salem Street,5243000,0,2,0,2013,SLM,31.6192468441,31.6192468445357
646,Salem Street,5765100,0,2,0,2013,SLM,79.9205424419,79.920542438654
647,Commercial Street,5640400,5,2,0,2017,SBL,69.3268572536,69.3268572514691
648,Neponset Avenue,4856400,5,2,0,2012,BL,90.9426104139,90.9426104139312
649,Neponset Avenue,4804600,5,2,0,2012,BL,66.8726652579,66.8726652553475
650,Neponset Avenue,4807500,5,2,0,2012,BL,70.8222520503,70.8222520476828
651,Freeport Street,5810000,3,2,0,2013,SLM,33.1484812066,33.1484812018782
652,Freeport Street,4773100,3,2,0,2013,BLSL,79.3368552052,79.3368552094988
653,Freeport Street,5575000,3,2,0,2013,SLM,33.7974603638,33.7974603752491
654,Old Colony Avenue,5699500,3,3,1,2016,BFBL,83.4549885466,83.4549885462367
655,D Street,4565700,5,2,0,2013,BLSL,45.0747854736,45.0747854756249
656,D Street,4560200,5,2,0,2013,BLSL,44.8411832145,44.8411832167732
657,Beacon Street,4462900,3,2,0,2020,SBL,41.1424627845,41.1424627858002
658,Beacon Street,4459200,3,2,0,2020,SBL,40.5623857633,40.5623857489932
659,Charles Street Circle,4438200,2,3,1,2018,BL,25.1183824696,25.1183824621825
660,Harrison Avenue,5238100,5,2,0,2019,BL,43.3894842287,43.3894842287445
661,Harrison Avenue,4502000,5,2,0,2019,BL,64.5034408959,64.5034408905096
662,Harrison Avenue,5477300,5,2,0,2019,BL,24.7412056286,24.7412056356739
663,Tremont Street,4489700,3,2,0,2020,SBL,70.3366269169,70.3366269173187
664,Tremont Street,4463800,3,2,0,2020,SBL,66.4379422152,66.4379422198049
665,Washington Street,5650000,3,2,0,2020,SBL,54.6381602214,54.6381602263575
666,Columbia Road,5850100,3,1,1,2022,SBL,108.037830171,108.0378629751
667,Tremont Street,4461400,3,2,0,2020,SBL,86.8638028237,86.8638028191903
668,Tremont Street,5307000,3,2,0,2020,SBL,87.7246124541,87.7246124583922
669,Cambridge Street,5488000,3,2,1, ,BL,226.190777559,226.190777572417
670,Congress Street,5613200,5,2,0,2019,SBL,179.914920617,179.91492060944
671,State Street,5791800,3,2,0,2020,SBL,55.3206966439,55.3206966512265
672,Beach Street,5651500,0,2,0, ,SLM,21.1677625768,21.1677625789717
673,Summer Street,4488100,3,2,0,2019,SLM,247.980237797,247.980237810127
674,Congress Street,5824600,3,2,0,2016,SLM,35.6924726286,35.6925112362696
675,State Street,5792000,3,2,0,2020,SBL,17.5681380714,17.5681380720354
676,Congress Street,5632900,3,2,1,2022,SLM,125.557503884,125.557503887599
677,A Street,5815900,5,2,0,2013,BLSL,85.7205548396,85.7205548390386
678,Cross Street,4439400,3,2,0,2014,BL,52.4508148172,52.4508148228885
679,Atlantic Avenue,4439300,5,2,0,2017,SBL,110.300270373,110.300270376633
680,Commercial Street,5149300,5,2,0,2017,SBL,62.1762516928,62.1762516927626
681,Commercial Street,5149500,5,2,0,2017,SBL,62.514713034,62.5147130303265
682,Atlantic Avenue,5284500,5,2,0,2017,SBL,31.8936650387,31.8936650363162
683,Commercial Street,4432200,5,2,0,2017,SBL,31.3223984853,31.3223984823633
684,Seaport Boulevard,6272000,3,2,1,2018,SBL,154.415845075,154.415845081104
685,Seaport Boulevard,45261800,3,2,1,2018,SBL,153.457327038,153.457327035735
686,Maverick Street,4428600,5,2,0,2015,BL,65.9244179893,65.9244179893004
687,Maverick Street,5621702,5,2,0,2015,BL,51.5441816582,51.544181671244
688,Marginal Street,4433200,0,2,0,2015,SLM,45.3486961251,45.3486961232157
689,Chelsea Street,5281700,5,2,0,2010,BL,128.410360863,128.41036085987
690,Chelsea Street,5138500,5,2,0,2010,BL,85.4580846792,85.458084676372
691,Meridian Street,4399200,3,2,0,2013,BLSL,67.8113594876,67.8113594914965
692,Bennington Street,5823600,5,2,1,2008,SLM,15.6881633535,15.6881633451561
693,Bennington Street,6279000,5,2,1,2008,SLM,161.072752234,161.072752232164
694,Bennington Street,5708300,5,2,1,2008,SLM,153.476365166,153.476365171346
695,Bennington Street,4394500,5,2,0,2008,SLM,107.197244828,107.197244834627
696,Bennington Street,5837800,5,2,0,2008,SLM,324.816673879,324.816673884641
697,Saratoga Street,5192400,5,2,0,2012,BL,87.0879870313,87.0879870365253
698,Truman Highway,6231900,5,3,0,2010,BL,916.787209725,916.7872097273
699,American Legion Highway,6271401,5,2,1,2020,SBL,886.676161549,886.676161541571
700,Veterans Of Foreign Wars Parkway,6213500,2,3,1,2013,BL,81.7081507738,81.7081507787211
701,Baker Street,5688100,6,2,0,2014,BL,36.0132762025,36.0132761996613
702,Veterans Of Foreign Wars Parkway,4824000,2,3,1,2013,SLM,78.5625753582,78.5625753561639
703,Commonwealth Avenue,6257300,3,2,1,2013,SLM,47.9357325038,47.9357325034188
704,Lake Street,4549500,6,2,0,2010,BL,38.4437667591,38.4437667628514
705,Lake Street,4547800,6,2,0,2010,BL,26.2812844875,26.2812844837976
706,Commonwealth Avenue,6291200,3,2,1,2013,BL,163.964869541,163.964869540944
707,Lake Street,4529700,6,2,0,2010,BL,170.400177032,170.400177034963
708,Washington Street,5799100,3,2,0,2010,BL,21.4186459435,21.418645943482
709,Faneuil Street,4486300,6,2,0,2017,SLM,33.7430222065,33.7430221923127
710,Faneuil Street,5376500,6,2,0,2017,SLM,23.253208747,23.253208753824
711,Veterans Of Foreign Wars Parkway,6212100,2,3,1,2013,BL,180.292507647,180.292507654386
712,Beacon Street,5679100,3,2,0,2009,BFBL,262.913014474,262.913014473034
713,Washington Street,5798700,3,2,0,2010,BL,71.6022751575,71.6022751577905
714,Washington Street,4506700,3,2,0,2010,BL,105.722738646,105.722738646001
715,Washington Street,4504300,3,2,0,2010,BLSL,49.8005058428,49.8005058278764
716,Faneuil Street,4481900,6,2,0,2017,BL,31.8953349606,31.8953349531441
717, ,6068700,0, ,0,2019,BL,242.149499754,242.149528751593
718,Summer Street,5610600,3,2,0,2022,BL,361.910896719,361.910891877485
719,Central Square,6256900,0,2,0,2017,SLM,22.0899659649,22.0899659712953
720,Belgrade Avenue,5855500,3,2,0,2009,BL,109.688634857,109.688634864393
721,Centre Street,5610000,2,3,1,2011,BL,297.699872226,297.69987222392
722,Beacon Street,5679200,3,2,0,2009,BFBL,69.5727805082,69.572780515718
723,Beacon Street,5837300,3,2,0,2009,BL,366.560688175,366.560688175364
724,Chestnut Hill Avenue,5125700,5,2,0,2013,SLM,224.08364748,224.083647482317
725,Commonwealth Avenue,6237900,3,2,1,2013,SLM,69.4443261692,69.4443261725723
726,Chestnut Hill Avenue,5708800,5,2,0,2013,BL,35.79376138,35.7937613733326
727,Washington Street,5784100,3,2,0,2010,BL,12.3845510197,12.3845510123541
728,Washington Street,5824300,3,2,0,2010,BL,81.2613011784,81.2613011790919
729,Cambridge Street,6241800,3,2,1,2010,SLM,94.3640091543,94.3640091445878
730,Cambridge Street,5236900,3,2,1,2010,BL,124.81462502,124.814625020356
731,Faneuil Street,5291100,6,2,0,2017,SLM,35.86778974,35.8677897348126
732,Faneuil Street,5290800,6,2,0,2017,SLM,72.2954139547,72.2954139551035
733,Centre Street,4872600,5,2,0,2010,BL,34.2792366208,34.2792366221259
734,Veterans Of Foreign Wars Parkway,6287100,2,3,1,2013,BL,136.590373025,136.590350495324
735,Veterans Of Foreign Wars Parkway,5276300,2,3,1,2013,BL,170.029060933,170.029060942733
736,Commonwealth Avenue Frontage Road Eb,5109400,0,2,1,2013,SLM,100.322353704,100.322353691829
737,Cambridge Street,5237300,3,2,0,2010,BL,62.160366311,62.1603663128957
738,North Harvard Street,4442300,5,2,0,2012,BL,50.2866401702,50.2866401729455
739,North Harvard Street,4449900,5,2,0,2012,BL,57.0892407948,57.0892407948433
740,North Harvard Street,5104300,5,2,0,2012,BLSL,54.366148682,54.3661486757107
741,North Harvard Street,5104200,5,2,0,2012,BLSL,14.6289249101,14.62892491647
742,North Harvard Street,5638600,5,2,0,2009,BL,98.6710378826,98.6710378746848
743,Western Avenue,5151600,5,2,0,2021,SBL,58.5221099022,58.522109894316
744,Belgrade Avenue,4897100,3,2,0,2009,BL,100.421035988,100.421035980817
745,Belgrade Avenue,4896000,3,2,0,2009,BL,64.1740262032,64.1740262029403
746,Commonwealth Avenue Frontage Road Eb,5110000,0,2,1,2013,SLM,60.8586438669,60.858643870447
747,Cambridge Street,5193400,3,2,0,2010,BL,49.906477682,49.9064776821625
748,Everett Street,5719300,6,2,0,2017,BLSL,80.7022795723,80.7022795795073
749,Western Avenue,5126100,5,2,0,2015,BLSL,80.1214971728,80.1214971796275
750,Walter Street,4849600,6,2,0,2016,BLSL,52.3412843327,52.3412843368633
751,Walter Street,5738000,6,2,0,2016,BLSL,59.1416559607,59.1416559537954
752,Centre Street,6288200,5,2,1,2010,BL,216.460675452,216.460675449449
753,Veterans Of Foreign Wars Parkway,6221200,2,3,0,2013,BL,9.95686491204,9.95686491964803
754,Cambridge Street,4471100,3,2,0,2015,BLSL,25.6186888038,25.6186888056227
755,Franklin Street,4454600,0,2,0,2010,SLM,94.7067569838,94.7067569828551
756,Cambridge Street,5623800,3,2,0,2022,SBL,61.1307243759,61.1307243776405
757,Everett Street,5645300,6,2,0,2017,BLSL,34.3493471645,34.3493471624497
758,River Street,5737300,5,2,0,2012,BLSL,107.704951903,107.70495189946
759,River Street,5737200,5,2,0,2012,BLSL,18.1027411376,18.1027411375644
760,River Street,5074200,5,2,0,2012,SLM,71.310523015,71.3105230077939
761,River Street,5073300,5,2,0,2012,SLM,26.1789048962,26.178904910647
762,Cummins Highway,4922400,3,2,0,2012,BL,83.3282050946,83.3282050902694
763,Corinth Street,5807400,3,2,0,2009,SLM,69.6722895901,69.6722895924803
764,Walter Street,4824900,6,2,0,2016,BLSL,239.037967029,239.037967026136
765,Centre Street,5213200,2,3,1,2011,BL,25.0500707849,25.0500707894693
766,Walter Street,5222400,6,2,0,2016,SLM,29.9263396994,29.9263396980688
767,Centre Street,6221600,2,3,1,2011,BL,178.785710123,178.785710117721
768,Harvard Avenue,5871700,3,2,0,2010,BL,6.97396507389,6.9739650736607
769,Brighton Avenue,5247000,3,2,1,2019,SLM,74.7092103175,74.7092103180776
770,Brighton Avenue,6243200,3,2,1,2013,SLM,261.970814401,261.970814393163
771,American Legion Highway,6278100,5,2,1,2009,SLM,83.2022175582,83.2022175585161
772,Washington Street,5705100,3,2,0,2009,BL-PEAKBUS,73.0523271311,73.052327133985
773,Washington Street,4989100,3,2,0,2016,BFBL,60.0034354663,60.0034354614224
774,Perkins Street,5345800,5,3,0,2008,BL,146.405123259,146.405164142465
775,Commonwealth Avenue,5119100,3,2,1,2019,SBL,88.4564465762,88.456446584115
776,Commonwealth Avenue,6275800,3,2,1,2019,SBL,120.983392653,120.983392646306
777,Cambridge Street,6265000,3,2,1,2022,BL,64.3906046488,64.3906046566917
778,American Legion Highway,5119600,5,2,1,2020,SBL,74.8322829285,74.8322829285151
779,American Legion Highway,5694900,5,2,1,2009,BFBL,201.730041042,201.730058347605
780,American Legion Highway,6291300,5,2,1,2009,SLM,21.6284667939,21.6284668007769
781,Washington Street,5117200,3,2,0,2018,SBL,103.570891592,103.570908253214
782,Blue Hill Avenue,5124000,2,2,1,2010,BL,88.8386072659,88.838607264147
783,South Street,4748300,5,2,0,2010,SLM,24.2620621725,24.2620621748811
784,Centre Street,4737100,5,2,0,2011,SLM,58.8631503163,58.8631503020105
785,Centre Street,4683100,5,2,0,2010,SLM,55.2509971955,55.2509971924857
786,South Huntington Avenue,5127600,5,2,0,2010,BL,59.465398787,59.4653987822526
787,South Huntington Avenue,4635700,5,2,0,2010,BL,86.896945622,86.8969456258692
788,South Huntington Avenue,5127900,5,2,0,2010,SLM,83.6592636168,83.6592636150507
789,Commonwealth Avenue,5249500,3,2,1,2018,SBL,236.178638137,236.178638129019
790,Commonwealth Avenue,5118900,3,2,1,2019,SBL,120.426114823,120.426114830942
791,Commonwealth Avenue,6294401,3,2,1,2019,SBL,168.080811087,168.080811079939
792,River Street,5047700,5,2,0,2013,SLM,83.2207952652,83.2207952711805
793,Centre Street,5600200,5,2,0,2011,SLM,12.7262469331,12.7262469400349
794,Ruggles Street,5365300,5,2,0,2010,SLM,45.830531663,45.830531671323
795,Morton Street,5106400,2,1,1,2013,BFBL,84.591061056,84.5910610632448
796,Rossmore Street,4757500,0,2,0,2017,SLMTC,72.6679611333,72.6679611311542
797,Williams Street,4763700,0,2,0,2017,SLMTC,227.248321578,227.248321583931
798,Centre Street,5827600,5,2,1,2010,SLM,56.2382304565,56.238230458767
799,Huntington Avenue,5197400,3,2,0,2013,SLM,19.043391202,19.0433912020047
800,Brookline Avenue,6298100,2,2,0,2013,SBL,20.2814400753,20.281440070584
801,Commonwealth Avenue,6233700,3,2,1,2010,BL,261.838922402,261.838922402338
802,Commonwealth Avenue,6225000,3,2,1,2010,BL,112.009881904,112.009881911209
803,River Street,5729800,5,2,0,2013,SLM,71.5861734111,71.5861734104737
804,Walk Hill Street,5168200,5,2,0,2015,BL,33.7519396475,33.7519396500332
805,Morton Street,5688300,2,1,1,2013,BFBL,597.767836976,597.767836969753
806,Centre Street,4637200,5,2,0,2010,BLSL,59.5092909281,59.5092909352437
807,Longwood Avenue,5196700,5,2,0,2015,BLSL,99.1674025301,99.1674025168418
808,Saint Alphonsus Street,5350900,5,2,0,2015,BL,50.1255327981,50.1255327948058
809,Mountfort Street,5782500,0,2,0,2017,BL,88.3573192212,88.3573192211955
810,Beacon Street,5742700,3,2,1,2020,SBL,66.1220325348,66.1220325420551
811,Commonwealth Avenue,6224700,3,2,1,2008,BL,211.366433234,211.366433226357
812,River Street,5730200,5,2,1,2013,SLM,20.8683936148,20.8683936123224
813,Blue Hill Avenue,5175400,2,2,1,2010,SLM,51.5,51.5
814,Blue Hill Avenue,6248000,2,2,1,2010,BL,55.2619943311,55.2619943272687
815,Blue Hill Avenue,5486002,2,2,1,2010,SLM,3.46423597983,3.46423598330118
816,Blue Hill Avenue,5007300,2,2,1,2010,BL,312.58612279,312.586122790115
817,Blue Hill Avenue,5124100,2,2,1,2010,BL,89.7229956183,89.7229956165204
818,Walnut Avenue,4720000,6,2,0,2011,SLM,71.8630213645,71.8630213670656
819,Walnut Avenue,5308300,6,2,0,2011,SLM,75.4129494015,75.412949393511
820,Blue Hill Avenue,5691200,3,2,1,2012,BL,63.3821866056,63.3821866092179
821,Blue Hill Avenue,6278300,3,2,1,2012,SLM,262.401886508,262.401886500859
822,Blue Hill Avenue,6232000,3,2,1,2012,BL,49.3420656231,49.342065626746
823,Blue Hill Avenue,6227400,3,2,1,2012,SLM,39.7210723003,39.7210723023335
824,Walnut Avenue,5598700,6,2,0,2011,SLM,14.2222931901,14.2222931872023
825,Walnut Avenue,4698300,6,2,0,2011,SLM,38.9091292409,38.9091292454439
826,Walnut Avenue,4677700,6,2,0,2011,SLM,88.6805267308,88.6805267342633
827,Ritchie Street,4642400,6,2,0,2011,SLM,33.0272237554,33.0272237648333
828,Huntington Avenue,5313200,3,2,1,2013,SLM,148.364553416,148.364553418075
829,Huntington Avenue,6290000,3,2,1,2012,SLM,22.0996416556,22.0996416472913
830,Beacon Street,5459900,3,2,0,2009,SLM,94.6022613948,94.6022613958189
831,Bay State Road,5457900,6,2,0,2019,CFBL,199.566767651,199.566767644552
832,Commonwealth Avenue,6270102,3,2,1,2010,BL,76.0117996603,76.0117996526443
833,Babcock Street,5351200,0,2,0,2014,SLM,40.7828257474,40.7828257426377
834,Babcock Street,4478800,0,2,0,2014,BLSL,104.900479419,104.900479423837
835,Western Avenue,4436000,5,2,0,2021,SBL,90.2123399752,90.2123160331801
836,Cummins Highway,5161900,3,2,0,2020,SBL,24.4335656597,24.4335656617354
837,Mount Hope Street,4944300,0,2,0,2021,SLMTC,133.999509762,133.999509755799
838,Washington Street,5629800,3,2,0,2018,SBL,62.7982052726,62.7982052797539
839,Washington Street,4744200,3,2,0,2016,SLM,30.7687502754,30.7687502710201
840,Washington Street,5734000,3,2,0,2016,SLM,33.0819742809,33.0819742840173
841,Washington Street,5734200,3,2,0,2016,SLM,70.1174788493,70.117478847616
842,Washington Street,4701300,3,2,0,2016,SLM,139.041401941,139.041401947776
843,Washington Street,4688900,3,2,0,2016,SLM,74.2226806071,74.2226806072234
844,Park Drive,4544700,3,3,0,2019,BL,149.607631982,149.607631987875
845,Walnut Entrance,5313000,0,2,0, ,SUP,65.861740132,65.8617401271169
846,Washington Street,5162400,3,2,0,2016,SLM,17.3850363036,17.385036299507
847,Washington Street,4679500,3,2,0,2016,SLM,84.5707425777,84.5707425761439
848,Washington Street,4670000,3,2,0,2016,SLM,156.294849189,156.294849193649
849,Washington Street,4662900,3,2,0,2016,SLM,173.354410674,173.354410669286
850,Norfolk Street,4942900,5,2,0,2017,BL,96.7510552462,96.7510552472383
851,Blue Hill Avenue,4918100,3,2,1,2010,BL,66.4309538599,66.4309538654386
852,Blue Hill Avenue,5111000,3,2,1,2010,BL,74.6132705332,74.6132705384961
853,Blue Hill Avenue,5111100,3,2,1,2010,BL,73.0970560557,73.0970560504673
854,Blue Hill Avenue,4871900,3,2,1,2010,BL,186.862704687,186.862704686714
855,Warren Street,5601500,5,2,1,2011,BL,108.291650029,108.291650023531
856,Warren Street,5601400,5,2,1,2011,BL,113.291858328,113.291858330067
857,Walnut Avenue,5741400,6,2,0,2011,BLSL,88.3536581951,88.3536582060296
858,Martin Luther King Boulevard,6239700,5,2,1,2010,BL,236.338825816,236.338825809007
859,Massachusetts Avenue,5200600,3,2,0,2016,SBLBL,50.0049823293,50.0049823307422
860,Massachusetts Avenue,5200500,3,2,0,2016,SBLBL,42.3888855635,42.3888855660965
861,Boylston Street,5809600,3,2,0,2016,BLSL,126.942279567,126.942279568515
862,Massachusetts Avenue,5200400,3,2,0,2016,SBL,46.2381631247,46.2381631281268
863,Commonwealth Avenue,6209300,3,2,1,2010,BL,132.245017559,132.245017552926
864,Massachusetts Avenue,5770300,3,2,1,2011,BL,187.960797773,187.96079778043
865,Massachusetts Avenue,5273600,3,2,1,2011,BL,139.185637287,139.18563728717
866,Huntington Avenue,5978500,3,2,1,2022,SBL,42.2035185159,42.2035185110049
867,Huntington Avenue,5595800,3,2,1,2014,BL,114.161013204,114.161013204387
868,Beacon Street,4477200,3,2,0,2018,SBL,188.919482539,188.919482545709
869,Cambridge Street,5226900,3,2,0,2011,BL,35.9140509903,35.9140509829395
870,Beacon Street,4491700,3,2,0,2018,SBL,218.975350138,218.97535014477
871,Old Road,6282800,0,2,1,2009,BL,49.2639664537,49.2639664448779
872,Blue Hill Avenue,5223000,5,2,1,2010,BL,91.1565672922,91.156567288549
873,Columbia Road,6257900,5,2,1,2010,SLM,53.33523189,53.3352318900016
874,Blue Hill Avenue,5223100,5,2,1,2010,BL,78.3652421983,78.3652421981674
875,Blue Hill Avenue,6240600,5,2,1,2010,BL,75.5623643637,75.5623643606307
876,Blue Hill Avenue,6290400,5,2,1,2010,BL,111.174271655,111.174271657962
877,Warren Street,5601100,5,2,1,2011,BL,143.056564363,143.056564353861
878,Dorchester Avenue,5590100,3,2,0,2011,BLSL,119.702211338,119.702211337671
879,Massachusetts Avenue,5831400,3,2,1,2011,BL,175.718438697,175.718438699404
880,Columbus Avenue,5845500,3,2,0,2009,BL,80.449765395,80.4497653999722
881,Dartmouth Street,4523800,5,2,0,2011,SLM,54.077835097,54.077835096985
882,Columbia Road,5392300,5,2,1,2010,SLM,58.7110065087,58.7110065087132
883,Norfolk Street,5217700,5,2,0,2017,BL,58.13835039,58.138350389258
884,Talbot Avenue,5847400,5,2,0,2010,SLM,73.5394550685,73.5394550741085
885,New England Avenue,4841000,0,2,0,2018,SLMTC,122.102031809,122.102031808303
886,Talbot Avenue,5759500,5,2,0,2010,SLM,23.6476562692,23.6476562760916
887,Talbot Avenue,4839200,5,2,0,2010,SLM,47.8854402292,47.8854402264919
888,Norfolk Street,4860100,5,2,0,2017,BL,72.9123730614,72.9123730597394
889,Geneva Avenue,5573200,5,2,0,2016,SLM,17.4568247862,17.4568247809753
890,Columbia Road,6239000,5,2,1,2010,BL,71.6812545737,71.6812545719758
891,Geneva Avenue,4753200,5,2,0,2016,SLM,95.9092228496,95.9092228489946
892,Columbia Road,5733000,5,2,1,2010,BFBL,87.0418604959,87.0418604983329
893,Dartmouth Street,4525400,5,2,0,2011,SLM,32.8292500573,32.8292500573321
894,Dartmouth Street,5663200,5,2,0,2011,SLM,36.1571104356,36.1571104390971
895,St James Avenue,4501900,3,2,0,2015,SLM,95.1944697468,95.194469752495
896,Stuart Street,4508300,3,2,0,2017,BL,93.3479935795,93.3479935794856
897,Dartmouth Street,5269200,5,2,0,2020,BFBL,44.4353253635,44.4353253669867
898,Dartmouth Street,4486900,5,2,0,2011,BL,43.047991846,43.0479918520853
899,Commonwealth Avenue,4483200,3,2,1,2010,BL,188.262898034,188.262898034106
900,Beacon Street,4465500,3,2,0,2018,SLM,153.760407101,153.760407095288
901,Cambridge Street,45727700,3,2,0,2011,BL,69.4397366283,69.4397366382199
902,Sullivan Square,5619400,3,2,0,2014,BFBL,97.5322613063,97.5322613010293
903,Dorchester Avenue,5398401,3,2,0,2010,SLM,37.8650809064,37.865080905113
904,Talbot Avenue,4847300,5,2,0,2010,SLM,32.4547035555,32.4547035703899
905,Geneva Avenue,4771200,5,2,0,2016,SLM,66.534199671,66.5341996651883
906,Geneva Avenue,4762800,5,2,0,2016,SLM,81.467477538,81.4674775421565
907,Columbia Road,6230000,5,2,1,2010,BL,104.998808133,104.998808133132
908,Columbia Road,6230200,5,2,1,2010,BL,125.630168244,125.630168249939
909,Albany Street,5677500,5,2,0,2012,BL,118.662818711,118.662818697675
910,Albany Street,5678100,5,2,0,2012,BL,29.4582145946,29.4582145891389
911,Washington Street,5133100,3,2,0,2011,SLM,106.160011631,106.160011621804
912,West Selden Street,4993600,0,2,0,2022,SLMTC,66.4295148496,66.4295148507418
913,West Selden Street,4988900,0,2,0,2022,SLMTC,267.863838616,267.863838618082
914,Washington Street,5716300,3,2,0,2016,SLM,270.211758198,270.211758203674
915,Morton Street,5135600,2,1,1,2020,BL,72.9080990972,72.9080991027753
916,Selden Street,4952800,0,2,0,2021,SLMTC,213.447084715,213.447084715902
917,Milton Avenue,4922100,6,2,0,2021,SLMTC,81.355357235,81.3553572382176
918,Milton Avenue,4940700,6,2,0,2021,SLMTC,44.2495999727,44.2495999775968
919,Norwell Street,4780300,0,2,0,2021,SLMTC,112.112406283,112.112406280588
920,Norwell Street,5273100,0,2,0,2021,SLMTC,72.2691908204,72.2691908213593
921,Quincy Street,4703300,5,2,0,2019,SLM,47.9510149742,47.9510149759305
922,Washington Street,5147000,5,2,0, ,SLM,19.1872065003,19.1872065040238
923,Quincy Street,5835000,5,2,0,2019,SLM,37.5607376479,37.5607376532257
924,Adams Street,5695700,5,2,0,2017,BL,24.8391032403,24.8391032454945
925,Adams Street,5868600,5,2,0,2017,BFBL,18.7877770569,18.7877770658186
926,Dorchester Avenue,5198700,3,2,0,2010,SLM,47.1670457612,47.1670457597157
927,Dorchester Avenue,4883000,3,2,0,2011,SLM,63.4662390124,63.4662390107835
928,Ashmont Street,5574500,5,2,0,2013,SLM,20.0409056813,20.0409056731452
929,Dorchester Avenue,5152500,3,2,0,2011,SLM,45.6666259334,45.666625928119
930,Geneva Avenue,5687200,5,2,0,2016,SLM,30.6834546722,30.6834546703833
931,Dorchester Avenue,4785200,3,2,0,2011,SLM,126.458826929,126.45882693092
932,D Street,5591300,5,2,0,2013,BLSL,11.934286854,11.9342868570251
933,Dorchester Avenue,46178200,3,2,1,2011,BFBL,119.321433504,119.321433506768
934,Dorchester Avenue,4536500,3,2,1,2011,SLM,69.0362431001,69.0362430964218
935,Mount Vernon Street,6305001,6,2,1,2013,BFBL,365.325715713,365.325715712788
936,Old Colony Avenue,5736900,3,3,1,2016,BFBL,166.727791755,166.72779175519
937,Columbia Road,5392500,5,2,1,2010,SLM,79.8686594078,79.8686594122209
938,Kneeland Street,5760500,3,2,0,2017,SBLBL,15.7697634834,15.76976347521
939,Essex Street,5293600,5,2,0,2012,SLM,45.0730144803,45.0730144804328
940,Winter Street,5419400,0,2,0,0,PED,92.9489841887,92.9489841803864
941,Washington Street,5366401,0,2,0,0,PED,125.787703774,125.787703771683
942,Warren Street,5779500,5,2,0,2012,BL,58.7730801635,58.7730801665716
943,Warren Street,4423700,5,2,0,2012,BL,43.8159476823,43.8159476823424
944,Main Street,5521900,5,2,0,2011,BL,55.9320514658,55.9320514711553
945,Oliver Street,5451500,0,2,0,2011,SLM,90.9316894322,90.9316894301356
946,Seaport Boulevard,45232300,3,2,0,2012,SLM,16.7003873694,16.7003873693508
947,Saratoga Street,4392100,5,2,0,2012,BLSL,200.240102412,200.240102410532
948,Ashmont Street,5131300,5,2,0,2013,SLM,90.7051801743,90.7051801734632
949,Ashmont Street,5131400,5,2,0,2013,SLM,65.7436265974,65.7436265961124
950,Adams Street,6252000,5,2,0,2013,SLM,72.657988327,72.6579883285517
951,Neponset Avenue,4795400,5,2,0,2012,BL,64.2816634913,64.2816634942054
952,Dorchester Avenue,4746700,3,2,0,2011,SLM,33.4142651006,33.414265104283
953,Freeport Street,4755600,3,2,0,2013,BL,41.5269752273,41.5269752298674
954,Dorchester Avenue,4712700,3,2,0,2011,BL,106.739626352,106.739626352327
955,Dorchester Avenue,4697600,3,2,0,2011,BL,55.1430276661,55.1430276624385
956,Dorchester Avenue,4678300,3,2,0,2011,BL,66.7638410281,66.7638410245473
957,Dorchester Avenue,4685500,3,2,0,2011,BL,100.013323748,100.013323752009
